Ptr: 0x8009641A, Offset: 0x00028F04 (0x80038704), CmdHi: 0x3C028009, CmdLo: 0x2442641A
Ptr: 0x800968AC, Offset: 0x0002B3EC (0x8003ABEC), CmdHi: 0x3C128009, CmdLo: 0x265268AC
Ptr: 0x80096906, Offset: 0x0002B474 (0x8003AC74), CmdHi: 0x3C058009, CmdLo: 0x24A56906
Ptr: 0x80095D02, Offset: 0x0002B538 (0x8003AD38), CmdHi: 0x3C028009, CmdLo: 0x24425D02
Ptr: 0x80096F74, Offset: 0x0002B5E4 (0x8003ADE4), CmdHi: 0x3C028009, CmdLo: 0x24426F74
Ptr: 0x8009649C, Offset: 0x0002B9B4 (0x8003B1B4), CmdHi: 0x3C028009, CmdLo: 0x2442649C
Ptr: 0x8009651E, Offset: 0x0002BB4C (0x8003B34C), CmdHi: 0x3C028009, CmdLo: 0x2442651E
Ptr: 0x80096294, Offset: 0x0002C578 (0x8003BD78), CmdHi: 0x3C028009, CmdLo: 0x24426294
Ptr: 0x800967A8, Offset: 0x0002C598 (0x8003BD98), CmdHi: 0x3C028009, CmdLo: 0x244267A8
Ptr: 0x80096726, Offset: 0x0002DB20 (0x8003D320), CmdHi: 0x3C028009, CmdLo: 0x24426726
Ptr: 0x80096357, Offset: 0x0002E248 (0x8003DA48), CmdHi: 0x3C028009, CmdLo: 0x24426357
Ptr: 0x800962D5, Offset: 0x0002E580 (0x8003DD80), CmdHi: 0x3C028009, CmdLo: 0x244262D5
Ptr: 0x800967E9, Offset: 0x0002E590 (0x8003DD90), CmdHi: 0x3C028009, CmdLo: 0x244267E9
Ptr: 0x80093C90, Offset: 0x0002FC9C (0x8003F49C), CmdHi: 0x3C028009, CmdLo: 0x24423C90
Ptr: 0x80093DB0, Offset: 0x00030F18 (0x80040718), CmdHi: 0x3C058009, CmdLo: 0x24A53DB0
Ptr: 0x80093C90, Offset: 0x00030F2C (0x8004072C), CmdHi: 0x3C058009, CmdLo: 0x24A53C90
Ptr: 0x80093DB0, Offset: 0x00030F64 (0x80040764), CmdHi: 0x3C058009, CmdLo: 0x24A53DB0
Ptr: 0x80093C9D, Offset: 0x00030F78 (0x80040778), CmdHi: 0x3C058009, CmdLo: 0x24A53C9D
Ptr: 0x80093DB0, Offset: 0x00030FB8 (0x800407B8), CmdHi: 0x3C058009, CmdLo: 0x24A53DB0
